"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "protein" "chr"
"evgLocus_224353" 288.804876045415 -5.6676323476408 0.650573153463616 -8.71175257919364 2.99212209180962e-18 4.64287584986099e-14 "DSX_DROME" "chr_08"
"evgLocus_462821" 210.694358937257 -11.8016079627653 1.37893837313088 -8.55847381777461 1.14371446224757e-17 8.87350865534774e-14 "." NA
"evgLocus_607507" 2848.18831161149 -2.93295448671009 0.355376897095464 -8.25308147682492 1.54361736966776e-16 7.98410357504486e-13 "." "chr_Z"
"evgLocus_271036" 74.5501922299778 -7.28246724084386 0.892988422240087 -8.15516423222552 3.48705698807898e-16 1.35271658210054e-12 "GAGXE_DROME" NA
"evgLocus_59976" 596.768530649596 -5.36816371780617 0.667178465563859 -8.04606862313717 8.54960642866343e-16 2.65328485907141e-12 "." "chr_10"
"evgLocus_143649" 88.5804750834463 -10.5510496829516 1.37350608449847 -7.68183687137018 1.56823458003575e-14 4.05571599640245e-11 "VATH_MANSE" "chr_05"
"evgLocus_361885" 3603.58760240849 -7.30298124857972 1.02574793498665 -7.11966458765013 1.08190022835198e-12 2.39826369190539e-09 "EF2_BOMMO" "chr_14"
"evgLocus_90741" 594.474030082451 -6.09041013579889 0.924880664087923 -6.58507672641744 4.54650542490777e-11 8.81851558478673e-08 "." "chr_10"
"evgLocus_303721" 442.785897808676 -6.13043412632794 0.93359701458553 -6.56646714862252 5.15230076695168e-11 8.88313900008769e-08 "." "chr_10"
"evgLocus_440174" 404.341514286966 -5.40585080366221 0.831987713221379 -6.49751278505215 8.16587550301475e-11 1.2670989018028e-07 "." "chr_10"
"evgLocus_340780" 150323.606900039 -12.1684606913295 1.89274736739464 -6.42899358939767 1.28451543859943e-10 1.66098550506228e-07 "." "chr_29"
"evgLocus_720881" 41.003997453737 -9.44314289972401 1.46825473108428 -6.43154263344373 1.26315341145054e-10 1.66098550506228e-07 "." NA
"evgLocus_538792" 768.58864296623 -2.71819871631476 0.428037598972072 -6.35037371212829 2.14792480489808e-10 2.56379609212334e-07 "ART2_YEAST" NA
"evgLocus_409110" 370.3523039923 -2.66395587452137 0.425565674764124 -6.25979967956276 3.85472305158162e-10 4.27240982795658e-07 "NDUA5_BOVIN" "chr_10"
"evgLocus_185744" 1019.20559382618 -6.01482334557622 0.991673847252984 -6.06532416100088 1.31687775157785e-09 1.23364595822156e-06 "." "chr_13"
"evgLocus_264106" 998.86474358028 -2.62040955643785 0.43450038596774 -6.03085668290386 1.63092777659482e-09 1.26535531547109e-06 "SAP18_DROME" "chr_18"
"evgLocus_349880" 615.062182110191 -6.93042086740411 1.14706686960517 -6.04186299076849 1.52344809112482e-09 1.26535531547109e-06 "CUO6_BLACR" NA
"evgLocus_766150" 3736.49105434424 -2.17994878544996 0.361187660792686 -6.03550182380456 1.58469439585359e-09 1.26535531547109e-06 "ART2_YEAST" NA
"evgLocus_155563" 246.39807621345 -2.82310805036162 0.472452642174849 -5.97543075929465 2.29482994447669e-09 1.69566077373547e-06 "T2AG_DROME" "chr_08"
"evgLocus_344241" 101.061317042554 -8.65654883784013 1.46255024637051 -5.91880440300933 3.24290351235219e-09 2.28727880914404e-06 "." "chr_10"
"evgLocus_36292" 22.4167971388491 -8.57471313609895 1.47930236826865 -5.79645738425652 6.77303854701799e-09 4.56944517974253e-06 "." "chr_01"
"evgLocus_272453" 17.4804863854336 -8.21255032198398 1.44107169807353 -5.69891861242072 1.20569764424171e-08 7.7953376440411e-06 "." NA
"evgLocus_126986" 23.3374084145393 -5.72396670725134 1.02654763145274 -5.57593874056382 2.46198560431883e-08 1.42827067171999e-05 "." NA
"evgLocus_284416" 19803.3356718512 -2.93998687899517 0.526980643655071 -5.57892764068864 2.42005879055657e-08 1.42827067171999e-05 "." "chr_Z"
"evgLocus_438074" 210.436691800051 -11.7993740499321 2.11674431916333 -5.57430292506747 2.48522962792032e-08 1.42827067171999e-05 "CU19_LOCMI" "chr_13"
"evgLocus_456264" 36.7559652694777 -9.28605037634719 1.70775214765116 -5.43758670666536 5.40070702829012e-08 2.88975072268889e-05 "." "chr_Z"
"evgLocus_758631" 49.1923742466906 -3.58492364550687 0.664768994828953 -5.3927359329225 6.93928952419606e-08 3.58923185156501e-05 "POLX_TOBAC" "chr_06"
"evgLocus_33705" 17.7209116622251 -8.23520911617635 1.54666145179635 -5.32450660525074 1.01227424004432e-07 5.06692238153798e-05 "." NA
"evgLocus_340545" 12.5797627431731 -7.7375877375958 1.46038512575822 -5.29832001238614 1.16873003748981e-07 5.66724499741544e-05 "." NA
"evgLocus_471590" 30.2121165492216 -9.00594763490909 1.706515409678 -5.27739016233577 1.31036697567857e-07 6.16150435200135e-05 "." "chr_10"
"evgLocus_242764" 44.2632441472109 -3.84494906905612 0.736458262074728 -5.22086487050094 1.78089456754825e-07 7.89546885847034e-05 "." "chr_12"
"evgLocus_36953" 779.906443621382 -2.26183909349483 0.434105496506617 -5.21034428657678 1.88490521643217e-07 8.12446506760501e-05 "NDUA6_PONPY" "chr_12"
"evgLocus_121488" 874.165187098076 -3.78816068417917 0.734593676636537 -5.15681090739021 2.51191241072145e-07 0.000105344175343688 "." NA
"evgLocus_368422" 29.2551533518374 -3.14815195398468 0.628571819147355 -5.00842045107126 5.4878548459634e-07 0.000207695228401986 "MOC2B_ANOGA" "chr_08"
"evgLocus_497015" 67.6565300236489 -10.1610915718904 2.03461090885789 -4.99412026528173 5.91045599453413e-07 0.000218363203969491 "." NA
"evgLocus_495618" 8398.73395063544 -2.71114331597384 0.543722142818415 -4.98626615042836 6.15573324036992e-07 0.000222136076025163 "." NA
"evgLocus_694608" 152.319206645064 -2.47655769477929 0.498026525287113 -4.97274255292235 6.60122998865796e-07 0.000232798376668195 "MIC13_DROME" "chr_06"
"evgLocus_160981" 17.3839339432138 -6.55418807310649 1.32809631408707 -4.93502466920993 8.01406296596856e-07 0.000264757173368499 "." "chr_17"
"evgLocus_434181" 25.8020184981652 -8.77415179415063 1.77996795880311 -4.92938749304823 8.24878219517083e-07 0.000264757173368499 "TKTL2_MOUSE" "chr_09"
"evgLocus_446483" 19.2386073602458 -8.33510516304496 1.69180367383951 -4.92675674602869 8.36057323906453e-07 0.000264757173368499 "." "chr_16"
"evgLocus_456794" 15.9065981762981 -8.08304201481244 1.63883874503258 -4.93217654226973 8.1318368186551e-07 0.000264757173368499 "." NA
"evgLocus_364651" 1558.93410260542 -2.77774080181238 0.571780934114414 -4.85805076049728 1.18547021654201e-06 0.000353748872116969 "QCR10_HUMAN" NA
"evgLocus_464388" 59.9847839952807 -6.00698213920095 1.23553064800284 -4.86186413012971 1.16285432235916e-06 0.000353748872116969 "HARB1_XENLA" "chr_20"
"evgLocus_739606" 42.351264690796 -9.48675553650387 1.96214549141684 -4.83488894070418 1.33219990462083e-06 0.000390032941886819 "." NA
"evgLocus_609290" 61.3455514870202 -10.0208573528758 2.07753833462182 -4.82342837476447 1.41111454599632e-06 0.000398113898367725 "CU19_LOCMI" "chr_13"
